relevant,entities,id,A,B,C,text,clean
1,PRO O O O O O,834253989734649856,0,1,0,"OpenStack Ocata announced, then briefly withheld https://t.co/bKJaDrfvN6",openstack ocata announced then briefly withheld
1,O O PRO O O O O O O O O O O O O,830096406711042050,0,0,1,Fantom Ransomware: Windows Update Disguise: A new ransomware called Fantom has been discovered that… https://t.co/njgL84SBHn #infosec,fantom ransomware windows update disguise a new ransomware called fantom has been discovered that infosec
1,ORG O O ID ID PRO PRO O O PRO VER O VER,834193954056916995,0,0,1,Microsoft rolls out KB 4010250 Flash Player update for Windows 8.1 and 10 https://t.co/uIHjog3FrE,microsoft rolls out kb 4010250 flash player update for windows 8.1 and 10
1,ID PRO O O O O O VER VER O VER VER VER O VER VER,829531418241941504,0,1,0,"CVE-2017-5933 Citrix NetScaler ADC and NetScaler Gateway 10.5 before Build 65.11, 11.0 before Build 69.12/69.123, … https://t.co/ENafYWZfhN",cve-2017-5933 citrix netscaler adc and netscaler gateway 10.5 before build 65.11 11.0 before build 69.12 69.123
1,PRO O O O O VUL VUL VUL VUL VUL VUL VUL O O O O,829347190938226689,0,1,0,Citrix NetScaler Nonce Generation Flaw Lets Remote Users Obtain Potentially Sensitive Information on the Target Sy… https://t.co/AcsRQPQDCn,citrix netscaler nonce generation flaw lets remote users obtain potentially sensitive information on the target sy
1,ID O O O O O O PRO PRO VER VER VER O O O O,828803344361779201,1,1,0,CVE-2017-5548 drivers/net/ieee802154/atusb.c in the Linux kernel 4.9.x before 4.9.6 interacts incorrectly with the… https://t.co/yC63YSRyqn,cve-2017-5548 drivers net ieee802154 atusb.c in the linux kernel 4.9.x before 4.9.6 interacts incorrectly with the
1,O PRO VER O O,829754039407607809,0,1,0,threatmeter: Fedora 25 : 3:mariadb (2017-801e01d1ed) https://t.co/BtMUox0lDE,threatmeter fedora 25 3 mariadb 2017-801e01d1ed
1,O O O O O O PRO O O O O O,829889186404716544,1,0,1,Researchers at Dr Web spotted a Windows version of the Mirai bot https://t.co/WzkTNvbrOr,researchers at dr web spotted a windows version of the mirai bot
-1,,834179394402971657,0,0,1,"@Volteer95 Hi, Manuel! You can find the Windows 10 version of Halo Wars 2 here. https://t.co/xSwsG4puCZ",volteer95 hi manuel you can find the windows 10 version of halo wars 2 here.
1,O O O O O O O O O O PRO VER PRO VER PRO VER,826738031797346305,0,0,1,"threatmeter: How To Remove The CryptoShield Ransomware From Your Computer (Windows 7, WIndows 8, Windows 10) https://t.co/FiRqWkRXoU",threatmeter how to remove the cryptoshield ransomware from your computer windows 7 windows 8 windows 10
1,O ORG O PRO O O PRO PRO O ORG O O O O O O,834057905456480256,0,0,1,"Surprise! Microsoft issues Flash patches for Internet Explorer, Edge: Microsoft sent an email to its… https://t.co/Sg7S7NTat6 #infosec",surprise microsoft issues flash patches for internet explorer edge microsoft sent an email to its infosec
1,O O O O O O O O O O PRO PRO O O,832698951270817793,0,0,1,"The Week in Ransomware – February 17th 2017 – Live Hermes Reversing, &amp; SCADA POC Ransomware https://t.co/7wVUkPGOZY",the week in ransomware february 17th 2017 live hermes reversing amp scada poc ransomware
1,ID O O O O O VER O O O O PRO PRO VER VER,828803332059836416,1,1,0,CVE-2017-2583 The load_segment_descriptor implementation in arch/x86/kvm/emulate.c in the Linux kernel before 4.9.… https://t.co/US5HhhaDnz,cve-2017-2583 the load segment descriptor implementation in arch x86 kvm emulate.c in the linux kernel before 4.9
1,O O O O O O PRO O PRO O O O O O O O O O,834390090092773377,0,0,1,Cyber crooks’ latest tricks for targeting Chrome users: Chrome users have lately been targeted with a few… https://t.co/0Z3PX135Y3 #infosec,cyber crooks latest tricks for targeting chrome users chrome users have lately been targeted with a few infosec
1,O ID VUL VUL O O O O O O O O O O PRO O,833154679878074368,1,1,0,threatmeter: CVE-2017-5986 Race condition in the sctp_wait_for_sndbuf function in net/sctp/socket.c in the Linux k… https://t.co/78M3aucjbf,threatmeter cve-2017-5986 race condition in the sctp wait for sndbuf function in net sctp socket.c in the linux k
1,ID O O O O O O O O PRO PRO VER VER O O O,828803349914980352,1,1,0,CVE-2017-5551 The simple_set_acl function in fs/posix_acl.c in the Linux kernel before 4.9.6 preserves the setgid … https://t.co/SW0FN3dZhr,cve-2017-5551 the simple set acl function in fs posix acl.c in the linux kernel before 4.9.6 preserves the setgid
1,O PRO O O VER O O VUL VUL VUL O O O,829027885897904128,1,1,0,#0daytoday #MySQL File Uploader 1.0 - id Parameter SQL Injection Vulnerability [webapps #exploits #Vulnerability #… https://t.co/eeZOKhkMsj,0daytoday mysql file uploader 1.0 id parameter sql injection vulnerability webapps exploits vulnerability
1,O PRO VER O O O O PRO O O O PRO O O O O O O,826758525565014020,1,1,0,"#0daytoday #Linux/x86 - Multi/Dual mode execve (&amp;quot;/bin/sh&amp;quot;, NULL, 0) Shell [#0day #Exploit] https://t.co/guzShbHbsc",0daytoday linux x86 multi dual mode execve amp quot bin sh amp quot null 0 shell 0day exploit
