relevant,entities,id,A,B,C,text,clean
1,O O O O O PRO O O O O O PRO O,821358603961569281,1,1,0,RT @GranetMan: Hacker held open MongoDB databases for ransom (by @securityaffairs )https://t.co/zOUdpw6on4#securityaffairs #MongoDB  #hac…,rt granetman hacker held open mongodb databases for ransom by securityaffairs mongodb hac
-1,,818543951963680769,1,1,0,"@TheHackersNews @nmerrigan @0xDUDE Number of MongoDB ransom attacks peaked 27,000 in a dayhttps://t.co/PZ1zEgyZ6j#securityaffairs",thehackersnews nmerrigan 0xdude number of mongodb ransom attacks peaked 27 000 in a
1,O O PRO O O O O O PRO O,824890707437445121,1,1,0,Several thousand Linux devices infected with the Linux.Proxy.10 Trojanhttps://t.co/RuPtmFJFFM#securityaffairs #Linux #malware,several thousand linux devices infected with the linux.proxy.10 linux malware
1,ORG PRO PRO O O O O O O O ORG O O,806766458160091138,0,0,1,Adobe Flash Player flaws remain the most used by Exploit Kitshttps://t.co/sF9ZMzNT2v#securityaffairs #Adobe #EK #hacking,adobe flash player flaws remain the most used by exploit adobe ek hacking
1,O PRO PRO O O O O VUL VUL PRO PRO O,809769425486364673,1,1,0,Hacking Ubuntu Linux distro exploiting the CrashDB code injection issuehttps://t.co/NVvg0kKBWu#securityaffairs #Ubuntu #linux #hacking,hacking ubuntu linux distro exploiting the crashdb code injection ubuntu linux hacking
1,O O ID O O O O O O O PRO PRO,806906900327579649,1,1,0,RT @GlobalCyberAlln: CVE-2016-8655 – A new 5-Year-Old flaw found in the #Linux Kernel  @securityaffairshttps://t.co/Kv3HSlaDBw,rt globalcyberalln cve-2016-8655 a new 5-year-old flaw found in the linux kernel
1,O O O O PRO O O PRO O O,816565513946066945,1,1,0,@0xDUDE Hacker held open MongoDB databases for ransomhttps://t.co/D5w0bCutmv#securityaffairs #MongoDB #hacking #cybercrime,0xdude hacker held open mongodb databases for mongodb hacking cybercrime
1,PRO O O O PRO O O O O PRO O O,811588257465176064,1,1,0,"Linux/Rakos, the new Linux malware threatening devices and servershttps://t.co/XLHyaE1uSb#securityaffairs #Linux #IoT #Rakos",linux rakos the new linux malware threatening devices and linux iot rakos
1,O O O O O PRO O O PRO O,816565008188526592,1,1,0,@arturodicorinto @TheHackersNews Hacker held open MongoDB databases for ransomhttps://t.co/D5w0bCutmv#securityaffairs #MongoDB #hacking,arturodicorinto thehackersnews hacker held open mongodb databases for mongodb hacking
-1,,816200310221918208,0,0,1,How 2Disable All #Windows 10s Built-In Advertising #rootsector #Security #infosec https://t.co/02JgXf8O7XShared by https://t.co/p8jBijlJvT,how 2disable all windows 10s built-in advertising rootsector security infosec by
-1,,801868215357947904,0,0,1,Wordpress Plugins could expose online shoppers on Black Friday and Cyber Mondayhttps://t.co/vkJOtaCGBG#securityaffairs #BlackFriday #Wor…,wordpress plugins could expose online shoppers on black friday and cyber blackfriday wor
1,O ID ORG PRO PRO VER O O O O VUL VUL O,801033076772048900,0,0,1,Bugtraq: CVE-2015-0050: Microsoft Internet Explorer 8 MSHTML SRunPointer::SpanQualifier/RunType OOB read details https://t.co/JIHOzCvq5W,bugtraq cve-2015-0050 microsoft internet explorer 8 mshtml srunpointer spanqualifier runtype oob read details
-1,,819948327093628928,1,0,1,ShadowBrokers exits releasing another arsenal of tools to hack Windowshttps://t.co/rGjWHokZTC#securityaffairs #ShadowBrokers #Windows,shadowbrokers exits releasing another arsenal of tools to hack shadowbrokers windows
1,O O O O O O O O PRO O,803644345832316928,0,1,1,San Francisco transit #ransomware attacker likely used year-old #Java exploit https://t.co/D9qrKhFQZY,san francisco transit ransomware attacker likely used year-old java exploit
-1,,803875089695510528,0,0,1,WordPress Insert Html Snippet 1.2 Cross Site Request Forgery https://t.co/NUkQtSOnOC,wordpress insert html snippet 1.2 cross site request forgery
1,O O O PRO VER O O O PRO,803680831772434432,0,0,1,SHIFT+F10 During Windows 10 Updates Can Bypass BitLocker https://t.co/BbGRUoouA9,shift f10 during windows 10 updates can bypass bitlocker
1,O ORG PRO PRO O O VUL VUL ID,801863285633073156,0,0,1,[local] - Microsoft Windows Kernel win32k.sys - 'NtSetWindowLongPtr' Privilege Escalation (MS16-135) https://t.co/hpI559LEL1,local microsoft windows kernel win32k.sys ntsetwindowlongptr privilege escalation ms16-135
-1,,803531367086596096,1,1,1,WordPress Olimometer 2.56 SQL Injection https://t.co/UcJemSCixt,wordpress olimometer 2.56 sql injection
1,ORG PRO O PRO VER O VUL VUL VUL,801737826526232576,0,1,1,SAP NetWeaver AS JAVA 7.4 icman denial of service https://t.co/1qAeavNLFW,sap netweaver as java 7.4 icman denial of service
-1,,803410721346355201,0,0,1,Save 70% off SiteGround + Get a free domain - https://t.co/7u63DL32pe - 3 Hours Left - #WordPress #CyberMonday,save 70 off siteground get a free domain 3 hours left wordpress cybermonday
